Id, Khu vuc, Loai vang, Gia mua, Gia ban, url, timestamp
1,TP. Hồ Chí Minh,SJC,147.800,149.800,https://giavang.org/trong-nuoc/sjc/,2025-11-21T21:03:05.872674900
2,TP. Hồ Chí Minh,PNJ,147.800,149.800,https://giavang.org/trong-nuoc/pnj/,2025-11-21T21:03:05.872674900
3,TP. Hồ Chí Minh,DOJI,147.800,149.800,https://giavang.org/trong-nuoc/doji/,2025-11-21T21:03:05.872674900
4,TP. Hồ Chí Minh,Mi Hồng,148.500,149.800,https://giavang.org/trong-nuoc/mi-hong/,2025-11-21T21:03:05.872674900
5,TP. Hồ Chí Minh,Ngọc Thẩm,147.800,149.800,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-21T21:03:05.872674900
6,Miền Bắc,SJC,147.800,149.800,https://giavang.org/trong-nuoc/sjc/,2025-11-21T21:03:05.872674900
7,Hạ Long,SJC,147.800,149.800,https://giavang.org/trong-nuoc/sjc/,2025-11-21T21:03:05.872674900
8,Hải Phòng,SJC,147.800,149.800,https://giavang.org/trong-nuoc/sjc/,2025-11-21T21:03:05.872674900
9,Miền Trung,SJC,147.800,149.800,https://giavang.org/trong-nuoc/sjc/,2025-11-21T21:03:05.872674900
10,Huế,SJC,147.800,149.800,https://giavang.org/trong-nuoc/sjc/,2025-11-21T21:03:05.872674900
11,Quảng Ngãi,SJC,147.800,149.800,https://giavang.org/trong-nuoc/sjc/,2025-11-21T21:03:05.872674900
12,Nha Trang,SJC,147.800,149.800,https://giavang.org/trong-nuoc/sjc/,2025-11-21T21:03:05.872674900
13,Biên Hòa,SJC,147.800,149.800,https://giavang.org/trong-nuoc/sjc/,2025-11-21T21:03:05.872674900
14,Miền Tây,SJC,147.800,149.800,https://giavang.org/trong-nuoc/sjc/,2025-11-21T21:03:05.872674900
15,Miền Tây,Ngọc Thẩm,147.800,149.800,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-21T21:03:05.872674900
16,Bạc Liêu,SJC,147.800,149.800,https://giavang.org/trong-nuoc/sjc/,2025-11-21T21:03:05.872674900
17,Cà Mau,SJC,147.800,149.800,https://giavang.org/trong-nuoc/sjc/,2025-11-21T21:03:05.872674900
18,Hà Nội,PNJ,147.800,149.800,https://giavang.org/trong-nuoc/pnj/,2025-11-21T21:03:05.872674900
19,Hà Nội,DOJI,147.800,149.800,https://giavang.org/trong-nuoc/doji/,2025-11-21T21:03:05.872674900
20,Hà Nội,Bảo Tín Minh Châu,148.300,149.800,https://giavang.org/trong-nuoc/bao-tin-minh-chau/,2025-11-21T21:03:05.872674900
21,Hà Nội,Bảo Tín Mạnh Hải,148.400,149.800,https://giavang.org/trong-nuoc/bao-tin-manh-hai/,2025-11-21T21:03:05.872674900
22,Hà Nội,Phú Quý,146.800,149.800,https://giavang.org/trong-nuoc/phu-quy/,2025-11-21T21:03:05.872674900
23,Đà Nẵng,PNJ,147.800,149.800,https://giavang.org/trong-nuoc/pnj/,2025-11-21T21:03:05.872674900
24,Đà Nẵng,DOJI,147.800,149.800,https://giavang.org/trong-nuoc/doji/,2025-11-21T21:03:05.872674900
25,Miền Tây,PNJ,147.800,149.800,https://giavang.org/trong-nuoc/pnj/,2025-11-21T21:03:05.872674900
26,Tây Nguyên,PNJ,147.800,149.800,https://giavang.org/trong-nuoc/pnj/,2025-11-21T21:03:05.872674900
27,Đông Nam Bộ,PNJ,147.800,149.800,https://giavang.org/trong-nuoc/pnj/,2025-11-21T21:03:05.872674900
28,Đông Nam Bộ,Ngọc Thẩm,147.800,149.800,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-21T21:03:05.872674900
29,Bắc Ninh,Bảo Tín Mạnh Hải,148.400,149.800,https://giavang.org/trong-nuoc/bao-tin-manh-hai/,2025-11-21T21:03:05.872674900
30,Hải Dương,Bảo Tín Mạnh Hải,148.400,149.800,https://giavang.org/trong-nuoc/bao-tin-manh-hai/,2025-11-21T21:03:05.872674900
31,Bến Tre,Mi Hồng,148.500,149.800,https://giavang.org/trong-nuoc/mi-hong/,2025-11-21T21:03:05.872674900
32,Tiền Giang,Mi Hồng,148.500,149.800,https://giavang.org/trong-nuoc/mi-hong/,2025-11-21T21:03:05.872674900
33,Mỹ Tho,Ngọc Thẩm,147.800,149.800,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-21T21:03:05.872674900
34,Vĩnh Long,Ngọc Thẩm,147.800,149.800,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-21T21:03:05.872674900
35,Long Xuyên,Ngọc Thẩm,147.800,149.800,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-21T21:03:05.872674900
36,Cần Thơ,Ngọc Thẩm,147.800,149.800,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-21T21:03:05.872674900
37,Sa Đéc,Ngọc Thẩm,147.800,149.800,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-21T21:03:05.872674900
38,Trà Vinh,Ngọc Thẩm,147.800,149.800,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-21T21:03:05.872674900
39,Tân An,Ngọc Thẩm,147.800,149.800,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-21T21:03:05.872674900
