"Khu vuc","Loai vang","Gia mua","Gia ban","timestamp","Trang thai"
"TP. Hồ Chí Minh","Vàng SJC 1L, 10L, 1KG","147.300","149.300","2025-11-19T01:58:44.954169800","OK"
"TP. Hồ Chí Minh","Vàng SJC 5 chỉ","147.300","149.320","2025-11-19T01:58:44.954169800","OK"
"TP. Hồ Chí Minh","Vàng SJC 0.5 chỉ, 1 chỉ, 2 chỉ","147.300","149.330","2025-11-19T01:58:44.954169800","OK"
"TP. Hồ Chí Minh","Vàng nhẫn SJC 99,99% 1 chỉ, 2 chỉ, 5 chỉ","145.300","147.800","2025-11-19T01:58:44.954169800","OK"
"TP. Hồ Chí Minh","Vàng nhẫn SJC 99,99% 0.5 chỉ, 0.3 chỉ","145.300","147.900","2025-11-19T01:58:44.954169800","OK"
"TP. Hồ Chí Minh","Nữ trang 99,99%","143.800","146.800","2025-11-19T01:58:44.954169800","OK"
"TP. Hồ Chí Minh","Nữ trang 99%","140.847","145.347","2025-11-19T01:58:44.954169800","OK"
"TP. Hồ Chí Minh","Nữ trang 75%","102.761","110.261","2025-11-19T01:58:44.954169800","OK"
"TP. Hồ Chí Minh","Nữ trang 68%","92.484","99.984","2025-11-19T01:58:44.954169800","OK"
"TP. Hồ Chí Minh","Nữ trang 61%","82.207","89.707","2025-11-19T01:58:44.954169800","OK"
"TP. Hồ Chí Minh","Nữ trang 58,3%","78.243","85.743","2025-11-19T01:58:44.954169800","OK"
"TP. Hồ Chí Minh","Nữ trang 41,7%","53.872","61.372","2025-11-19T01:58:44.954169800","OK"
"TP. Hồ Chí Minh","Vàng SJC 1L, 10L, 1KG","147.300","149.300","2025-11-19T01:58:44.954169800","OK"
"TP. Hồ Chí Minh","Vàng SJC 1L, 10L, 1KG","147.300","149.300","2025-11-19T01:58:44.954169800","OK"
"TP. Hồ Chí Minh","Vàng SJC 1L, 10L, 1KG","147.300","149.300","2025-11-19T01:58:44.954169800","OK"
"TP. Hồ Chí Minh","Vàng SJC 1L, 10L, 1KG","147.300","149.300","2025-11-19T01:58:44.954169800","OK"
"TP. Hồ Chí Minh","Vàng SJC 1L, 10L, 1KG","147.300","149.300","2025-11-19T01:58:44.954169800","OK"
"TP. Hồ Chí Minh","Vàng SJC 1L, 10L, 1KG","147.300","149.300","2025-11-19T01:58:44.954169800","OK"
"TP. Hồ Chí Minh","Vàng SJC 1L, 10L, 1KG","147.300","149.300","2025-11-19T01:58:44.954169800","OK"
"TP. Hồ Chí Minh","Vàng SJC 1L, 10L, 1KG","147.300","149.300","2025-11-19T01:58:44.954169800","OK"
"TP. Hồ Chí Minh","Vàng SJC 1L, 10L, 1KG","147.300","149.300","2025-11-19T01:58:44.954169800","OK"
"TP. Hồ Chí Minh","Vàng SJC 1L, 10L, 1KG","147.300","149.300","2025-11-19T01:58:44.954169800","OK"
"TP. Hồ Chí Minh","Vàng SJC 1L, 10L, 1KG","147.300","149.300","2025-11-19T01:58:44.954169800","OK"
"TP. Hồ Chí Minh","PNJ","146.000","149.000","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","SJC","147.300","149.300","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","PNJ","146.000","149.000","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","SJC","147.300","149.300","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","PNJ","146.000","149.000","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","SJC","147.300","149.300","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","PNJ","146.000","149.000","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","SJC","147.300","149.300","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","PNJ","146.000","149.000","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","SJC","147.300","149.300","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","PNJ","146.000","149.000","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","SJC","147.300","149.300","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","Nhẫn Trơn PNJ 999.9","146.000","149.000","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","Vàng Kim Bảo 999.9","146.000","149.000","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","Vàng Phúc Lộc Tài 999.9","146.000","149.000","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","Vàng nữ trang 999.9","141.900","148.100","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","Vàng nữ trang 999","141.750","147.950","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","Vàng nữ trang 9920","140.720","146.920","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","Vàng nữ trang 99","140.420","146.620","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","Vàng 916 (22K)","129.460","135.660","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","Vàng 750 (18K)","101.780","111.080","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","Vàng 680 (16.3K)","91.410","100.710","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","Vàng 650 (15.6K)","86.970","96.270","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","Vàng 610 (14.6K)","81.040","90.340","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","Vàng 585 (14K)","77.340","86.640","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","Vàng 416 (10K)","52.310","61.610","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","Vàng 375 (9K)","46.240","55.540","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","Vàng 333 (8K)","40.020","49.320","2025-11-19T01:58:47.014199200","OK"
"TP. Hồ Chí Minh","SJC Lẻ","147.300","149.300","2025-11-19T01:58:48.692281900","OK"
"TP. Hồ Chí Minh","AVPL","147.300","149.300","2025-11-19T01:58:48.692281900","OK"
"TP. Hồ Chí Minh","Nhẫn tròn 999 Hưng Thịnh Vượng","146.000","149.000","2025-11-19T01:58:48.692281900","OK"
"TP. Hồ Chí Minh","Nữ trang 99.99","145.000","148.500","2025-11-19T01:58:48.692281900","OK"
"TP. Hồ Chí Minh","Nữ trang 99.9","144.800","148.300","2025-11-19T01:58:48.692281900","OK"
"TP. Hồ Chí Minh","Nữ trang 99","144.100","148.050","2025-11-19T01:58:48.692281900","OK"
"TP. Hồ Chí Minh","SJC Lẻ","147.300","149.300","2025-11-19T01:58:48.692281900","OK"
"TP. Hồ Chí Minh","AVPL","147.300","149.300","2025-11-19T01:58:48.692281900","OK"
"TP. Hồ Chí Minh","Nhẫn tròn 999 Hưng Thịnh Vượng","146.000","149.000","2025-11-19T01:58:48.692281900","OK"
"TP. Hồ Chí Minh","Nữ trang 99.99","145.000","148.500","2025-11-19T01:58:48.692281900","OK"
"TP. Hồ Chí Minh","Nữ trang 99.9","144.800","148.300","2025-11-19T01:58:48.692281900","OK"
"TP. Hồ Chí Minh","Nữ trang 99","144.100","148.050","2025-11-19T01:58:48.692281900","OK"
"TP. Hồ Chí Minh","SJC Lẻ","147.300","149.300","2025-11-19T01:58:48.692281900","OK"
"TP. Hồ Chí Minh","AVPL","147.300","149.300","2025-11-19T01:58:48.692281900","OK"
